WKT,ResourceID,PRN TYPE,External Cross Reference Source,External Cross Reference Number,External Cross Reference Notes,Heritage Asset Name,Name Type,Artefact/Ecofact Type,Material,ArtefactType PERIOD,Artefact/Ecofact Type PERIOD FROM,Artefact/Ecofact Type PERIOD TO,Description,Description Type,Easting,Northing,Inscription Content,Inscription Language,Inscription Note,Inscription Script,Translation,Compiler,Date of Compilation,Date of Last Update,Dimension Type,Dimension Measurment Unit,Dimension Value,Recovery Method,Storage Location,Storage Reference Number
POINT (-0.54427494311928 53.2320090090826),2E83861E-D36D-4DF2-81FA-87FC6C48378C,,Lincoln Heritage Database Event No,572,,"""Roman Pottery, glass, and human remains, West Parade""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""A shallow bowl in greyware, Roman glass and human bone were found near West Parade in the area of the west side of the junction with Orchard Street.""",Summary,497267,371541,,,,,,,,,,,,Chance find,The Collection,
,2E83861E-D36D-4DF2-81FA-87FC6C48378C,,,,,,Primary,HUMAN REMAINS,Bone,Roman,0043,0410,,Summary,,,,,,,,,,,,,,,,
POINT (-0.519973902016624 53.2511183983388),2F1AED96-BDEF-4164-B703-9F829B30C2C0,,Lincoln Heritage Database Event No,10647,,"""Roman Aqueduct Pipe fragment, GPO Building, Nettleham Road""",Primary,WATER PIPE (ARCHITECTURAL),CERAMIC,Roman,0043,0410,"""A portion of aqueduct pipe was recorded on the site of the GPO Building during its construction""",Summary,498845,373700,,,,,,,,,,,,Chance find,,
POINT (-0.549325531571766 53.2009304424067),2F890AC8-73A7-4D8D-8D77-C36243406BFC,,Lincoln Heritage Database Event No,10675,,"""Roman Coin, 105 Holly Street""",Primary,COIN,BRONZE,Roman,0043,0410,"""Find of a Roman coin; a Constantinopolis bronze commemorative coin of Constantine I or his sons AD 330-346. THS Thessalonica. Found in garden""",Summary,497000,368077,,,,,,,,,,,,Chance find,The Collection,
POINT (-0.509807858429569 53.2309448255213),2F935280-440E-4AEB-8AAA-574353B2FFF1,,Lincoln Heritage Database Event No,1534,,"""Roman Plaster Pieces, Greetwell Villa""",Primary,WALL PLASTER,PLASTER,Roman,0043,0410,"""Roman plaster pieces""",Summary,499570,371470,,,,,,,,,,,,Chance find,The Collection,308.12
POINT (-0.535473239210839 53.2330968151665),30411AB3-F8BC-4CCC-BCB7-A72C4FBC3568,,Lincoln Heritage Database Event No,1511,,"""Post Medieval Objects, 3 Vicars Court""",Primary,SHERD,CERAMIC,Post Medieval,1540,1901,"""Collection of 16th-17th century pottery, glass and metal objects including a thimble and a seal-knopped spoon (early 17thC) found in an ashy layer in the undercroft""",Summary,497852,371674,,,,,,,,,,,,Chance find,The Collection,67.73
,30411AB3-F8BC-4CCC-BCB7-A72C4FBC3568,,,,,,Primary,ARCHITECTURAL FRAGMENT,STONE,Post Medieval,1540,1901,,Summary,,,,,,,,,,,,,,,,
,30411AB3-F8BC-4CCC-BCB7-A72C4FBC3568,,,,,,Primary,SPOON,METAL,Post Medieval,1540,1901,,Summary,,,,,,,,,,,,,,,,
POINT (-0.546907283445416 53.213998917511),308B84E4-88B9-427E-829F-E065DF005527,,Lincoln Heritage Database Event No,1618,,"""Medieval Pottery, Colegrave Street/St Catherines""",Primary,SHERD,CERAMIC,Medieval,1066,1540,"""Find of medieval pottery by Mr and Mrs R. Bone of 17 Colegrave Street from a cable trench in Colegrave Street.  It was freshly broken and consisted of 14  x 13th century body sherds, 20  x 14th -15th century body sherds (including one with handle attachment) + 2 base sherds from baluster jugs. All Lincoln kiln products, probably St Marks.  Also found was some animal bone""",Summary,497132,369534,,,,,,,,,,,,Chance find,J Young,
POINT (-0.534790694796792 53.2311466646226),310B1D2D-6747-4751-B300-8114756FD7FB,,Lincoln Heritage Database Event No,1435,,"""Lamp, School of Art""",Primary,LAMP,CERAMIC,Uncertain,,,"""Lamp of very fine design""",Summary,497902,371458,,,,,,,,,,,,Chance find,The Collection,9283.06
POINT (-0.538375093805192 53.2305973547493),326876BC-B32D-4293-87B8-4E6D0A90C784,,Lincoln Heritage Database Event No,324,,"""Post Medieval finds, Clasketgate/Flaxengate""",Primary,UNIDENTIFIED OBJECT,,Post Medieval,1540,1901,"""Post-medieval finds were retrieved from a building site (Clasket House) at the junction and were handed over to the Museum.""",Summary,497664,371392,,,,,,,,,,,,Chance find,The Collection,52.57
POINT (-0.533127596658315 53.2412305630652),32950C2E-4678-43C2-98EF-3EE3A5F215AC,,Lincoln Heritage Database Event No,1518,,"""Roman Cremation Jar, Newport Cemetery""",Primary,CINERARY VESSEL,CERAMIC,Roman,0043,0410,"""Roman Black-Burnished jar possibly later 2nd century (contained cremation when found but contents thrown away). Sherds of Black-Burnished dish associated with jar. Rim sherd in grey micaceous fabric associated with jar and dish""",Summary,497990,372582,,,,,,,,,,,,Chance find,The Collection,60.75
POINT (-0.526683106228778 53.2329615240149),32E1677D-AE0C-42E3-93BE-E59BE6310ED8,,Lincoln Heritage Database Event No,1627,,"""Roman Castor Ware Beaker, 12 Lindum Terrace""",Primary,BEAKER,CERAMIC,Roman,0043,0410,"""Castor ware beaker""",Summary,498439,371671,,,,,,,,,,,,Chance find,The Collection,6.61
POINT (-0.539801113748824 53.2313969308769),32F998C4-3934-4AA7-94BE-C779310315C7,,Lincoln Heritage Database Event No,1597,,"""Medieval Jug, 263 High Street""",Primary,JUG,CERAMIC,Medieval,1066,1540,"""14th century jug""",Summary,497567,371479,,,,,,,,,,,,Chance find,The Collection,35.52
POINT (-0.542598669038852 53.2284286299639),34248987-0396-43A4-A8CD-D65DD87A4938,,Lincoln Heritage Database Event No,10633,,"""Medieval Pottery, Wigford Way""",Primary,SHERD,CERAMIC,Medieval,1066,1540,"""Find of 13th-century Lincoln ware pottery during building of bridge over Witham, exact location to be established.""",Summary,497387,371145,,,,,,,,,,,,Chance find,,
POINT (-0.541471657027781 53.2201533603376),343E7675-2C7D-487A-9C43-078A6F408EAD,,Lincoln Heritage Database Event No,7416,,"""Cannonball, 65 Scorer Street""",Primary,CANNON BALL,,Post Medieval,1540,1901,"""Find of cannonball c.10cm below garden surface. It was identified (by telephone description) by Museum staff as a Civil War cannonball. Mr Hobson provided this information by telephone to Heritage Services 12/8/2002""",Summary,497481,370226,,,,,,,,,,,,Chance find,,
POINT (-0.544724897936727 53.2266926395723),347757AC-D06D-4E2F-BA26-19C2CD7C145B,,Lincoln Heritage Database Event No,317,,"""18th Century Slipwares, Brayford Pool, Great Central Railway Dock""",Primary,SHERD,CERAMIC,Post Medieval,1540,1901,"""During construction work of the dock a large group of 18th century slipwares was found by the workmen""",Summary,497249,370949,,,,,,,,,,,,Chance find,The Collection,
POINT (-0.541436689186755 53.2260321617442),34825C1C-1EDF-4C2C-AA0A-2051608D22AE,,Lincoln Heritage Database Event No,1633,,"""Medieval Architectural Fragments, Akrills Passage""",Primary,ARCHITECTURAL FRAGMENT,STONE,Medieval,1066,1540,"""Medieval corbel with face. From demolition of half-timbered house in Akrills Passage. Not found in situ but apparently re-used in wall""",Summary,497470,370880,,,,,,,,,,,,Chance find,The Collection,41.63
POINT (-0.578565481106537 53.2221657130141),348B279F-463C-43C8-B01D-243E8AB4C0C4,,Lincoln Heritage Database Event No,176,,"""Carved Stone Fragment, Swanpool, Oak Farm""",Primary,ARCHITECTURAL FRAGMENT,STONE,Medieval,1066,1540,"""A carved stone with claw chisel finish and incised lines on the back was found in a field to the south of Swanpool (Haw Hill) in 1978. Nearby in 1980 was found an inscribed tile of c.1500-50 (see RE1659). Photos of both are in the museum""",Summary,495000,370400,,,,,,,,,,,,Chance find,The Collection,
POINT (-0.509807858429569 53.2309448255213),348E8072-E289-478E-B6A5-04A964B6CCCA,,Lincoln Heritage Database Event No,1550,,"""Roman Box Tile, Greetwell Villa""",Primary,TILE,TILE,Roman,0043,0410,"""Roman box tile used in aqueductor drain. See Rutland and Stamford Mercury 22/01/26""",Summary,499570,371470,,,,,,,,,,,,Chance find,The Collection,826.26
POINT (-0.572426263818409 53.2207528865104),357E1E1F-CDED-4CED-814D-85CFF4AA73EB,,Lincoln Heritage Database Event No,556,,"""Roman Pottery, Swanpool""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Roman pottery was found in the Swanpool area by J Peasvail of Nocton Fen""",Summary,495413,370251,,,,,,,,,,,,Chance find,The Collection,
POINT (-0.538346643704747 53.2547431332186),3605E991-CDD9-4B23-BE0C-F8D48D26C803,,Lincoln Heritage Database Event No,692,,"""Roman and Medieval pottery and Tile, Grange Lodge, Riseholme Road (outside city boundary)""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Roman and post-medieval pottery and Roman and medieval tile was found on the surface whilst metal detecting""",Summary,497611,374078,,,,,,,,,,,,Chance find,The Collection,
,3605E991-CDD9-4B23-BE0C-F8D48D26C803,,,,,,Primary,TILE,TILE,Medieval,1066,1540,,Summary,,,,,,,,,,,,,,,,
,3605E991-CDD9-4B23-BE0C-F8D48D26C803,,,,,,Primary,SHERD,CERAMIC,Post Medieval,1540,1901,,Summary,,,,,,,,,,,,,,,,
,3605E991-CDD9-4B23-BE0C-F8D48D26C803,,,,,,Primary,TILE,TILE,Roman,0043,0410,,Summary,,,,,,,,,,,,,,,,
POINT (-0.534693651569173 53.2300397454589),36909B1F-A94E-430E-8D04-1BD75B4B0385,,Lincoln Heritage Database Event No,330,,"""Romano-British Pottery, St Hughs School""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""A quantity of Romano-British pottery was found in the school grounds, along with two inhumations, possibly from the cemetery of St Bavon.""",Summary,497911,371335,,,,,,,,,,,,Chance find,The Collection,5.61; 41.61
POINT (-0.544104505121711 53.222900424097),36F42BB9-7FC2-4C4B-87AD-2D9C0E3FE9B7,,Lincoln Heritage Database Event No,1426,,"""Roman Urn, John OGaunts""",Primary,URN,CERAMIC,Roman,0043,0410,"""Roman urn 3 1/2 inches high (89mm)""",Summary,497299,370528,,,,,,,,,,,,Chance find,The Collection,9273.06
POINT (-0.54549277038554 53.2137569209794),370166CD-FD55-402E-A54A-23EBE64DD151,,Lincoln Heritage Database Event No,1668,,"""Medieval grave cover, Malandry Closes""",Primary,TOMBSTONE,STONE,Medieval,1066,1540,"""Medieval grave slab. Late 12th-century/early 13th-century grave cover with floriate cross. From the cemetery of the chapel of the Hospital of the Holy Innocents.""",Summary,497227,369509,,,,,,,,,,,,Chance find,The Collection,19.82
POINT (-0.536922072554138 53.2279545526831),3706584C-4C4C-47CC-8A56-0C102060A711,,Lincoln Heritage Database Event No,10642,,"""Token, Thorn Bridge""",Primary,TOKEN,,Post Medieval,1540,1901,"""Find of Coventry 1/2d token. Exact location not recorded in Archaeological Notes (near Thorn Bridge)""",Summary,497767,371100,,,,,,,,,,,,Chance find,,
POINT (-0.538526552086893 53.2336287197962),39B6766A-BD81-45A3-9B31-B73ECDDE5097,,Lincoln Heritage Database Event No,329,,"""Post Medieval finds, 1 Christs Hospital Terrace""",Primary,SHERD,CERAMIC,Post Medieval,1540,1901,"""17-18th century pottery and the bowl from a clay pipe were recovered from this site by the then owner/occupier, Mr Baker""",Summary,497647,371729,,,,,,,,,,,,Chance find,The Collection,
,39B6766A-BD81-45A3-9B31-B73ECDDE5097,,,,,,Primary,CLAY PIPE (SMOKING),CERAMIC,Post Medieval,1540,1901,,Summary,,,,,,,,,,,,,,,,
POINT (-0.538495276267667 53.2358667552156),39D24D3E-485D-4A7D-964B-F984A912827B,,Lincoln Heritage Database Event No,1439,,"""Roman Pavement, Bailgate, site of Roman Forum""",Primary,MOSAIC,STONE,Roman,0043,0410,"""Roman pavement. Found adjacent to the Colonnade according to grid reference. It is probably the mosaic containing a roundel with the head of Mercury( also RE3037)""",Summary,497644,371978,,,,,,,,,,,,Chance find,The Collection,9596.06
POINT (-0.541600340526651 53.231356030628),39E34493-25A4-43B4-89C5-A158DAB09A42,,Lincoln Heritage Database Event No,10657,,"""Roman Samian Sherd, 22 West Parade""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Find of figured Roman samian sherd from Drag.37.""",Summary,497447,371472,,,,,,,,,,,,Chance find,,
POINT (-0.534379353628217 53.2352948217066),3A15C272-DDF3-4C25-9575-BD45B7AFBB4A,,Lincoln Heritage Database Event No,10660,,"""Medieval Coin Eastgate""",Primary,COIN,METAL,Medieval,1066,1540,"""Find of coin; French regal gros of John II, 1350-1364. Possibly from 17 Eastgate""",Summary,497920,371920,,,,,,,,,,,,Chance find,,
POINT (-0.525337868670147 53.2376644545222),3A570E3A-82C0-4C72-A49C-2D4A5C9BC425,,Lincoln Heritage Database Event No,559,,"""Roman Pot, Lee Road/Wragby Road junction""",Primary,POT,CERAMIC,Roman,0043,0410,"""Roman pot found by Mrs L Harding""",Summary,498518,372196,,,,,,,,,,,,Chance find,The Collection,
POINT (-0.533955083908146 53.2354334387011),3B46C30F-C63C-45AB-826C-B72CBCED6221,,Lincoln Heritage Database Event No,1542,,"""Roman Bronze Fibula, 18 Eastgate cemetery""",Primary,BROOCH,BRONZE,Roman,0043,0410,"""Bronze fibula""",Summary,497948,371936,,,,,,,,,,,,Chance find,The Collection,346.14
POINT (-0.542559793919028 53.221631984312),3BF5EB04-0EDC-414C-B19C-D736C001B0D4,,Lincoln Heritage Database Event No,1469,,"""Pitcher Handle, John OGaunts Field""",Primary,SHERD,,Uncertain,,,"""Handle of large pitcher""",Summary,497405,370389,,,,,,,,,,,,Chance find,The Collection,9648.06
,3BF5EB04-0EDC-414C-B19C-D736C001B0D4,,,,,,Primary,PITCHER,CERAMIC,Uncertain,,,,Summary,,,,,,,,,,,,,,,,
POINT (-0.509904572106863 53.2324742786743),3C9AE5AB-AF7E-40E1-8B94-3AC8236533B9,,Lincoln Heritage Database Event No,1645,,"""Roman Samian Ware, Jellicoe Avenue""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Roman samian ware""",Summary,499560,371640,,,,,,,,,,,,Chance find,The Collection,154.77
POINT (-0.539143928011188 53.2344183857588),3CA639EB-8852-4971-88AA-6FC19CDC8E24,,Lincoln Heritage Database Event No,1607,,"""Medieval Vessels, Castle Hill""",Primary,POT,CERAMIC,Medieval,1066,1540,"""Two medieval vessels with wide mouths""",Summary,497604,371816,,,,,,,,,,,,Chance find,The Collection,33.55
POINT (-0.539936246174405 53.2261036876706),3DC22D27-DDE8-4C2D-A916-948DF185C032,,Lincoln Heritage Database Event No,3206,,"""Medieval comb case,  Central Station""",Primary,COMB CASE,ANTLER,Medieval,1066,1540,"""Find of comb case made of antler with runic inscription. Probably from Sweden or Norway 11th-12th century. British Museum gives date as C10th.""",Summary,497570,370890,,Old Norse,,Runic,"""Thorfast made a good comb""",,,,Length,Centimetres,13,Chance find,British Museum,no. 67 3-20 12
,3DC22D27-DDE8-4C2D-A916-948DF185C032,,British Museum,"18,670,320.12","http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=65237&partId=1&searchText=1867,0320.12&page=1",,Primary,,,,,,,Summary,,,,,,,,,,,,,,,,
POINT (-0.540552328786094 53.2282507678077),3E250294-BE76-4A23-AAA9-1BACFEEF9FA4,,Lincoln Heritage Database Event No,10650,,"""Roman Coin, 304 High Street""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin, a contemporary imitation of an as of Claudius, AD41-54.  Obverse; TI CLAVDIVS CAESAR AVG PM TR P IMP; Reverse SC Minerva. Found on the site of Currys shop.""",Summary,497524,371128,,,,,,,,,,,,Chance find,,
POINT (-0.509807858429569 53.2309448255213),3E8921D9-73D1-412E-BB40-50E24650FABF,,Lincoln Heritage Database Event No,1549,,"""Roman Ladle Handle, Greetwell Villa""",Primary,LADLE,Bone,Roman,0043,0410,"""Roman bone and ivory ladle handle""",Summary,499570,371470,,,,,,,,,,,,Chance find,The Collection,95.15
POINT (-0.500523967547822 53.2342354856036),3F624086-D181-465B-AFDF-1B32960FD08B,,Lincoln Heritage Database Event No,693,,"""Medieval pottery and Tile, Greetwell Road""",Primary,SHERD,CERAMIC,Medieval,1066,1540,"""Medieval and post-medieval pottery and tile was found on the surface whilst metal detecting""",Summary,500182,371849,,,,,,,,,,,,Chance find,The Collection,
,3F624086-D181-465B-AFDF-1B32960FD08B,,,,,,Primary,TILE,TILE,Medieval,1066,1540,,Summary,,,,,,,,,,,,,,,,
,3F624086-D181-465B-AFDF-1B32960FD08B,,,,,,Primary,SHERD,CERAMIC,Post Medieval,1540,1901,,Summary,,,,,,,,,,,,,,,,
,3F624086-D181-465B-AFDF-1B32960FD08B,,,,,,Primary,TILE,TILE,Post Medieval,1540,1901,,Summary,,,,,,,,,,,,,,,,
,3FF2066F-00EC-467E-8581-52C8BBE2CD8D,,Lincoln Heritage Database Event No,844,,"""Roman Wall, East Bight""",Primary,WALL,STONE,Roman,0043,0410,"""Report of find of Roman wall, later excavated in 1971""",Summary,,,,,,,,,,,,,,Chance find,,
POINT (-0.539827417336686 53.2297431596142),402550FF-099E-4CF9-A019-BBFE7B7F7389,,Lincoln Heritage Database Event No,1587,,"""Roman Urns, St Peter at Arches""",Primary,URN,CERAMIC,Roman,0043,0410,"""Two small burnished RB urns. Scored decoration""",Summary,497569,371295,,,,,,,,,,,,Chance find,The Collection,17.38
POINT (-0.538010672557219 53.2382160961456),4043CDCB-F842-4C2A-9FB9-DD630B4BA7EE,,Lincoln Heritage Database Event No,11200,,"""Roman Silver Coin, Staunton House""",Primary,COIN,BRONZE,Roman,0043,0410,"""During excavation for a house-sewer the Roman road was cut through. Found too was a silver coin of Empress Herennia Etruscilla the wife of the Emperor Decius""",Summary,497671,372240,,,,,,,,,,,,Chance find,,
POINT (-0.543022470327335 53.2225635747599),4184BF06-026E-476F-BCF3-6B4054CFE596,,Lincoln Heritage Database Event No,7885,,"""Roman grave slab, Monson Street""",Primary,TOMBSTONE,STONE,Roman,0043,0410,"""Fragment of inscribed grave slab found in Monson Street""",Summary,497372,370492,,,,,,,,,,,,Chance find,British Museum,
POINT (-0.538046973756312 53.234072320725),424A110B-15FA-497A-B578-470D30440E61,,Lincoln Heritage Database Event No,1646,,"""Roman Pottery, Deanery""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Roman sherds from depository occupation soil above the Roman tessellated floor""",Summary,497678,371779,,,,,,,,,,,,Chance find,The Collection,209.77
POINT (-0.527387083941883 53.2286012521203),427AB76E-9FDA-4D4A-9369-52488C7E913A,,Lincoln Heritage Database Event No,10661,,"""Roman Coin, Cannon Street""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin; commemorative coin of Constantine I. Reverse wolf and twins; Obverse URBS ROMA. Mint mark TRS Trier""",Summary,498402,371185,,,,,,,,,,,,Chance find,,
POINT (-0.556969022551008 53.2100488627854),42E2AABD-2588-48A6-BD9F-B5F9EEEEEAAF,,Lincoln Heritage Database Event No,565,,"""Roman Pottery, St Helens cemetery, Boultham""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Roman pot was found here in the cemetery""",Summary,496469,369081,,,,,,,,,,,,Chance find,The Collection,44.78
POINT (-0.534790694796792 53.2311466646226),4486F97C-DCEE-4864-A4A6-B9D3C322FBCB,,Lincoln Heritage Database Event No,1466,,"""Roman Jars, School of Art""",Primary,JAR,CERAMIC,Roman,0043,0410,"""Roman jars""",Summary,497902,371458,,,,,,,,,,,,Chance find,The Collection,9639.06
POINT (-0.549515696967684 53.2086009409573),46C89B35-775A-4CEF-B5F0-8824854C52A5,,Lincoln Heritage Database Event No,10637,,"""Roman Coin, Newark Road""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin, an aurous of Nero,  AD54-68. RIC 27. Exact location not recorded in Archaeological Notes""",Summary,496970,368930,,,,,,,,,,,,Chance find,The Collection,43.73
POINT (-0.545699582641864 53.2531879521351),49B3D3FC-D1E6-4CF9-AEFE-8BD91EBC34DA,,Lincoln Heritage Database Event No,1629,,"""Stone Axe, 11 Clarendon View""",Primary,AXE (TOOL),STONE,Prehistoric,-1000000,0043,"""Polished stone axe""",Summary,497124,373895,,,,,,,,,,,,Chance find,The Collection,30.61
POINT (-0.510236535087257 53.2319750065559),4A083A5D-8685-4DBC-9CB0-E67802168205,,Lincoln Heritage Database Event No,571,,"""Roman Architectural Fragments, 29 Jellicoe Avenue""",Primary,ARCHITECTURAL FRAGMENT,STONE,Roman,0043,0410,"""Roman architectural fragments were found in the garden""",Summary,499539,371584,,,,,,,,,,,,Chance find,The Collection,
POINT (-0.534790694796792 53.2311466646226),4A24ADB8-AAB1-458E-98A7-0F61C862D19A,,Lincoln Heritage Database Event No,1461,,"""Pitcher, School of Art""",Primary,SHERD,CERAMIC,Uncertain,,,"""Portion of large pitcher""",Summary,497902,371458,,,,,,,,,,,,Chance find,The Collection,9630.06
,4A24ADB8-AAB1-458E-98A7-0F61C862D19A,,,,,,Primary,PITCHER,CERAMIC,Uncertain,,,,Summary,,,,,,,,,,,,,,,,
POINT (-0.543621896854635 53.2291782868249),4B739D19-43C8-4677-8A92-A0930BE46A71,,Lincoln Heritage Database Event No,3110,,"""Roman Tombstone of Volusia Faustina, Newland/The Park""",Primary,TOMBSTONE,STONE,Roman,0043,0410,"""Tombstone of Volusia Faustina and Claudia Catiola found built into foundation of wall of lower city at The Park.""",Summary,497317,371227,,,,,,,,,,,,Chance find,,
POINT (-0.545738825094561 53.2312537695556),4B7CF0CB-5BCE-4325-BD0A-B93C283E3E9A,,Lincoln Heritage Database Event No,1562,,"""Roman Beaker, County Offices Newland""",Primary,BEAKER,CERAMIC,Roman,0043,0410,"""Castor ware beaker with thumb impressions possibly associated with cemetery.""",Summary,497171,371455,,,,,,,,,,,,Chance find,The Collection,91.35
POINT (-0.544435065374944 53.2317053170002),4C455017-2506-4773-A7C0-F2E899B7AF3F,,Lincoln Heritage Database Event No,3067,,"""Roman Flagon, St Martins Church""",Primary,FLAGON,CERAMIC,Roman,0043,0410,"""Find of early 2nd-century Roman flagon in cream ware, missing neck and handle, at depth of c 1.5m, in a pocket of sand, dug into yellow clay""",Summary,497257,371507,,,,,,,,,,,,Chance find,The Collection,1971.05
POINT (-0.536242113321845 53.2342749122256),4CBB44F7-0864-47CE-8F83-B4176E1AF27F,,Lincoln Heritage Database Event No,1507,,"""Roman Tombstone, Lincoln Cathedral""",Primary,TOMBSTONE,STONE,Roman,0043,0410,"""Unprovenanced Roman tombstone with head of a lady""",Summary,497798,371804,,,,,,,,,,,,Chance find,The Collection,108.72
POINT (-0.542511091675647 53.2310075848449),4E9159C0-BAC7-4507-8192-D372606FE10D,,Lincoln Heritage Database Event No,10669,,"""Roman Key Ring, Beaumont Manor""",Primary,KEY (LOCKING),,Roman,0043,0410,"""Find of a Roman key ring""",Summary,497387,371432,,,,,,,,,,,,Chance find,The Collection,130.74
POINT (-0.53823611564147 53.2289595357497),4EDAE362-A2D4-4FC6-82F9-47A99CC28E98,,Lincoln Heritage Database Event No,2097,,"""Roman Coin, Saltergate""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin; Antoninianus of Tetricus II, AD 270-273, Rev ?SPES AVGG""",Summary,497677,371210,,,,,,,,,,,,Chance find,,
POINT (-0.53777885775271 53.2300686428939),4EE07F84-E4B1-488A-AD72-EFDA91FF94AA,,Lincoln Heritage Database Event No,1481,,"""Medieval Jug, Co-op Silver Street""",Primary,JUG,CERAMIC,Medieval,1066,1540,"""Medieval jug""",Summary,497705,371334,,,,,,,,,,,,Chance find,The Collection,139.08
POINT (-0.536799499955879 53.2319893976751),4FA65845-654C-4FB9-86B0-B37A7362D7E6,,Lincoln Heritage Database Event No,1641,,"""Roman pottery, Usher Gallery""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Roman pottery""",Summary,497766,371549,,,,,,,,,,,,Chance find,The Collection,66.77
POINT (-0.513966337508272 53.2276705643652),50ED0A09-DF59-49F2-A376-0DE4E0109683,,Lincoln Heritage Database Event No,10664,,"""Roman Coin, Smith-Clayton Forge""",Primary,COIN,BRONZE,Roman,0043,0410,"""Find of a Roman bronze coin of Constantine I. Reverse SOLI INVICTI COMITI; Obverse CONSTANTINVS AVG. Mint mark B/S over PTR, Trier AD 315-316. Found near the Witham""",Summary,499300,371100,,,,,,,,,,,,Chance find,,
POINT (-0.541547105964498 53.2293956384607),5109EA1C-27A2-4E3B-B89C-DE0F64E0D1BF,,Lincoln Heritage Database Event No,1484,,"""Medieval Cup, GPO Guildhall Street""",Primary,CUP,CERAMIC,Medieval,1066,1540,"""Yellow glaze cup""",Summary,497455,371254,,,,,,,,,,,,Chance find,The Collection,239.08
POINT (-0.509807858429569 53.2309448255213),529D97CA-E10B-4396-8353-392D3C9A1256,,Lincoln Heritage Database Event No,1527,,"""Roman Plaster Pieces, Greetwell Villa""",Primary,WALL PLASTER,PLASTER,Roman,0043,0410,"""Roman plaster pieces""",Summary,499570,371470,,,,,,,,,,,,Chance find,The Collection,301.12
POINT (-0.547364453066895 53.2350132761966),52A2D0A2-B761-41BA-8E78-9E03D02F485C,,Lincoln Heritage Database Event No,10631,,"""Roman Coin, Yarborough Road allotments""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin, an AE 3 of Constantine II, AD337-340, as Caesar. Rev, GLORIA EXERCITVS.  Exact location not recorded in Archaeological Notes""",Summary,497054,371871,,,,,,,,,,,,Chance find,,
POINT (-0.542533678037109 53.2246072377914),52B88B18-A941-4D4A-BA73-200B95981B0C,,Lincoln Heritage Database Event No,10635,,"""Roman Coin, Rustons works""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin, an AE 3 of Constantine II as Caesar,  AD337-340. Reverse: GLORIA EXERCITVS.  Exact location not recorded in Archaeological Notes; grid ref is central Lincoln""",Summary,497400,370720,"""Reverse: GLORIA EXERCITVS""",,,,,,,,,,,Chance find,,
POINT (-0.533310187345419 53.2315060217547),546E3DFD-0311-486B-BE50-42BD603C509E,,Lincoln Heritage Database Event No,10652,,"""Roman Coin, Lincoln College""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin, a dupondius of Claudius,  AD41-54.  Obverse; TI CLAVDIVS CAESAR AVG PM TR P IMP; Reverse CERES AVGVSTA SC""",Summary,498000,371500,,,,,,,,,,,,Chance find,,
POINT (-0.53837794881705 53.2349124155319),553C7B13-E7A6-4A60-B595-AFC51B030D16,,Lincoln Heritage Database Event No,1451,,"""Medieval Pitcher, 90 Bailgate""",Primary,PITCHER,CERAMIC,Medieval,1066,1540,"""Tall medieval pitcher.""",Summary,497654,371872,,,,,,,,,,,,Chance find,The Collection,9615.06
POINT (-0.54484899373494 53.2212644107605),55ED0FEE-6639-440B-BDE4-273611D3353B,,Lincoln Heritage Database Event No,1526,,"""Roman Urn, George & Dragon High Street""",Primary,URN,CERAMIC,Roman,0043,0410,"""Cream coloured Roman urn with two handles, 8 inches (20cm) high""",Summary,497253,370345,,,,,,,,,,,,Chance find,The Collection,269.12
POINT (-0.536497104077765 53.2333880690253),5688E290-1E8E-4556-923B-45413CBBF658,,Lincoln Heritage Database Event No,10680,,"""Medieval Vessel, Bishops Palace (near)""",Primary,POT,CERAMIC,Medieval,1066,1540,"""Find of complete medieval pottery vessel. Of local manufacture.""",Summary,497783,371705,,,,,,,,,,,,Chance find,The Collection,58.75
POINT (-0.544104505121711 53.222900424097),56EBD3BA-F033-46E7-9BD9-ED858A1E827D,,Lincoln Heritage Database Event No,1425,,"""Roman Cremation Urn, John OGaunts""",Primary,CINERARY VESSEL,CERAMIC,Roman,0043,0410,"""Roman urn with cremated bones""",Summary,497299,370528,,,,,,,,,,,,Chance find,The Collection,9272.06
,56EBD3BA-F033-46E7-9BD9-ED858A1E827D,,,,,,Primary,HUMAN REMAINS,Bone,Roman,0043,0410,,Summary,,,,,,,,,,,,,,,,
