WKT,ResourceID,External Cross Reference Number,External Cross Reference Source,External Cross Reference Notes,Primary Reference Number Type,Activity Name,Name Type,Site Name,Activity Type,Description,Description Type,Start Date,End Date,xcoord,ycoord,Location of Archive,Archive Reference Number,Compiler,Date of Compilation,Date of Last Update
POINT (-0.542477491926003 53.2253796600648),b962297d-1ade-4aa8-bd35-f0e8a684a4f4,698,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at High Street""",Primary,"""High Street""",CASUAL OBSERVATION,"""Drury recorded the sections of the sewer trench throughout the town. Opposite St Marks church tidal sand was encountered at 3.7m below ground level and immediately below 2 feet (0.61m) of muddy soil. This in turn sealed by 5 feet (1.52m) of Roman road at 4.5 feet (1.37m) deep""",Summary,,,497402,370806,,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.541576976765924 53.2267530497705),235f28cd-8761-4192-b437-1199eca8dd0d,699,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at High Street""",Primary,"""High Street""",CASUAL OBSERVATION,"""Drury recorded the sections of the sewer trench throughout the town. Opposite St Marys church tidal sand was encountered at 4.04m below ground level. The Roman road here was described as concrete and 2 feet thick (0.61m) as opposed to 5 feet thick (1.52m) at St Marks""",Summary,,,497459,370960,,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.541215469748699 53.2272520458354),769f28d7-7959-4341-96da-beb0318788df,700,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at High Street""",Primary,"""High Street""",CASUAL OBSERVATION,"""Drury recorded the sections of the sewer trench throughout the town. At this point tidal sand was encountered at 3.42m below ground level and was about 27 feet thick (8.23m.)""",Summary,,,497482,371016,,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.541008891564379 53.2276001134104),094f1db9-c89f-404b-b3a3-bb2ddf44cbc0,701,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at High Street""",Primary,"""High Street""",CASUAL OBSERVATION,"""Drury recorded the sections of the sewer trench throughout the town. At this point tidal sand was encountered at 4.33m below ground level. This layer was cut by wooden piles about 12 feet (3.66m.) apart. The tops of these piles were about 5 feet (1.52m.) below ground level""",Summary,,,497495,371055,,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.541383263314447 53.2280451877069),e1f7c170-1786-4097-9a1a-ce0b639823cc,702,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at St Benedicts Square""",Primary,"""2 St Benedicts Square""",CASUAL OBSERVATION,"""Drury recorded the sections of the sewer trench throughout the town. At this point 3 feet (0.91m.) of medieval gravel was immediately below the present surface. Below this 2 feet (0.61m.) of sedimentary mud sealed 1 foot (0.3m) of massive stone""",Summary,,,497469,371104,,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.541756101251351 53.2280946978489),6a03dd9d-0e5a-4292-9af6-98c73436b9eb,703,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at St Benedicts Square""",Primary,"""3 St Benedicts Square""",CASUAL OBSERVATION,"""Drury recorded the sections of the sewer trench throughout the town. At this point tidal sand was overlain by stony mud which may have been mounded against or cut by a stone wall. Possible wooden piles were also seen in this area""",Summary,,,497444,371109,,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.526642646458854 53.2437396051947),580e6038-643e-4815-bc1a-5e233f8f1f1b,704,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Nettleham Road""",Primary,"""93/95 Nettleham Road""",EXCAVATION,"""Trench 1 of three. Further investigation of the route of the Roman aqueduct revealed the step-by-step pipe-laying method used to construct the aqueduct""",Summary,1975-01-01,1979-12-31,498417,372870,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.526627357865455 53.2437484058766),5f0a508a-774f-46e9-915a-365216e1203f,705,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Nettleham Road""",Primary,"""93/95 Nettleham Road""",EXCAVATION,"""Trench 2 of three. Further investigation of the route of the Roman aqueduct revealed the step-by-step pipe-laying method used to construct the aqueduct""",Summary,1975-01-01,1979-12-31,498418,372871,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.526853291606977 53.2437152394708),f7309f10-391a-4074-ad1e-88f5d1926cad,706,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Nettleham Road""",Primary,"""93/95 Nettleham Road""",EXCAVATION,"""Trench 3 of three. Further investigation of the route of the Roman aqueduct revealed a heavily-rutted metalled road. It had no foundations and was laid after the aqueduct fell into disuse""",Summary,1975-01-01,1979-12-31,498403,372867,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.523759186210515 53.2373842148156),41c56261-f663-4e2b-bac3-c647a7e4421f,707,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Geralds Close""",Primary,"""11 Geralds Close""",WATCHING BRIEF,"""Foundation trenches 0.65m deep for an extension to the house revealed natural stony clay/brash at a depth of 0.20m, immediately beneath topsoil""",Summary,1994-07-04,1994-07-05,498624,372167,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.526149085955964 53.2441470274645),22a80ed9-e83e-47e7-9adc-c46688ec7753,708,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Nettleham Road""",Primary,"""101 Nettleham Road""",EXCAVATION,"""The final aqueduct trench was dug here. The aqueduct was intact and deeply buried in a construction trench hewn out of solid limestone bedrock. The top of the aqueduct was separated from the road above it by 0.2m of capping stones""",Summary,1975-01-01,1979-12-31,498449,372916,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.54050833155027 53.2304257218393),d2b8a09b-8d71-42fe-883a-23ef89e76715,709,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Park Street""",Primary,"""8a Park Street""",WATCHING BRIEF,"""Foundation trenches to a depth of 0.60m revealed dark grey deposits through to mid greyish brown with clay patches. Some disturbance from modern drainage trenches was encountered. Post-medieval pottery was recovered from the site""",Summary,1994-07-05,1994-07-05,497522,371370,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.545505933890907 53.2363570363947),bc08e669-7b2e-4465-97c6-a6010dd6b6b7,710,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 18A Belle Vue Road""",Primary,"""18A Belle Vue Road""",WATCHING BRIEF,"""Foundation trenches to a depth of 0.60m revealed only modern deposits. However, a shallow 0.20m deep cut with steep sides and flat base was observed in section. The fill was of light brown clay moderately compacted""",Summary,1994-07-08,1994-07-08,497175,372023,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.545203559220648 53.2302493887674),cedc43e6-a417-48ab-8e30-7f5a306bf552,711,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Newland""",Primary,"""64 Newland""",WATCHING BRIEF,"""On the frontage of the property, trenches 2.05m deep revealed dark brown earth throughout. Only features associated with the cellar were seen. Workmen reported a limestone wall extending out from the north-west corner. Precise depth unknown, but it appeared to lie directly beneath a later brick wall (66 Newland? JH)""",Summary,1994-07-25,1994-08-02,497209,371344,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.54610197272088 53.2183221080923),d081ae27-7e98-46db-a561-c859224b8541,712,Lincoln Heritage Database Events,,Investigative Activity,"""Salvage Recording at Cranwell Street""",Primary,"""5 Cranwell Street""",SALVAGE RECORDING,"""The installation of a new floor in the front room led to the discovery of human bones intermixed with animal in dark brown sandy soil at 0.20m depth. No visible indication of grave cut(s). Probably associated with burials to the east. (see on194)""",Summary,1994-08-08,1994-08-08,497176,370016,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.538245254218887 53.2357288450562),b5ecb7e4-a489-4ea2-97ce-d0bb4a995663,713,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Bailgate""",Primary,"""78 Bailgate Prince of Wales""",WATCHING BRIEF,"""Foundation trenches to a depth of 0.30m revealed dark brown sandy soil containing post-medieval pottery, along with tin, coal, ash etc. Other than this general debris there were no archaeological features or finds""",Summary,1994-06-21,1994-06-21,497661,371963,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.541077189677229 53.2366085635629),622ee013-8f29-4d25-9b8d-ee46edd758ad,714,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Westgate""",Primary,"""Westgate Water Tower""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief). Work to renew the kerbstones around the tower required excavation to a depth of only 0.20m. This groundwork did not disturb archaeological deposits or features""",Summary,1994-08-11,1994-08-11,497470,372057,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.537228541467324 53.2369839114075),6fb69199-6661-4e2b-bc43-ede33015b969,716,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Bailgate""",Primary,"""Bailgate Methodist Church (rear)""",EXCAVATION,"""A grassy mound was levelled to reveal a well shaft which was lined with worn limestone blocks. It was either medieval or post-medieval in date.""",Summary,1979-07-01,1979-07-01,497726,372104,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.538845278003176 53.2352687405322),4064737f-0a5c-4fef-84dc-5e6da66a4757,717,Lincoln Heritage Database Events,,Investigative Activity,"""Salvage Recording at Bailgate""",Primary,"""16/17 Bailgate""",SALVAGE RECORDING,"""On an internal wall of this building 16/17th century paintings were exposed. The wall was to be demolished so the paintings were removed to be restored""",Summary,1980-05-01,1980-05-01,497622,371911,Lincoln City and County Museum,,Michael Dore,1994-12-19,2013-09-18
POINT (-0.540260156587546 53.2346388217614),d46bfa3b-7d6d-4d23-ae17-590102cb9d87,718,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Lincoln Castle""",Primary,"""Lincoln Castle (GPO trench)""",WATCHING BRIEF,"""Just inside the east gate, a section of north-south running wall was revealed at 0.60m deep, thought to be the western side of a medieval or post-medieval building. Stonework was also found in another area of the trench, outside the gate, and thought to be the foundations of the known barbican gateway.""",Summary,1979-11-01,1979-11-01,497529,371839,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.538833699291838 53.234288728537),650566c4-5e47-4b0e-96df-69c80d22e274,719,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Castle Hill""",Primary,"""Castle Square""",WATCHING BRIEF,"""Gas mains east-west renewal trench work.""",Summary,1979-07-01,1979-07-01,497625,371802,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.540048344089049 53.2342586631683),caf18e7e-c381-46c9-bf78-ccf308c13d49,720,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Lincoln Castle""",Primary,"""Castle Observatory Tower""",WATCHING BRIEF,"""Wall 1 of two. Walls were located underneath the tower and were thought to be the walls of an earlier keep. It seems likely that the later keep followed the plan of the former, being slightly extended in all directions""",Summary,1974-01-01,1974-12-31,497544,371797,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.540080437569212 53.2341961288044),74cd34ab-ff6f-47cf-ba75-292cd41e64bb,721,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Lincoln Castle""",Primary,"""Castle Observatory Tower""",WATCHING BRIEF,"""Wall 2 of two. Walls were located underneath the tower and were thought to be the walls of an earlier keep. It seems likely that the later keep followed the plan of the former, being slightly extended in all directions""",Summary,1974-01-01,1974-12-31,497542,371790,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.538546999067634 53.2343481412927),e730b38c-9b47-45e0-8e8a-6bc923e6c234,722,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Exchequergate""",Primary,"""Exchequergate""",WATCHING BRIEF,"""Service works on the west side of Exchequergate. Feature 1 of two. A 3 foot (0.91m) deep service trench revealed traces of demolition rubble, mortar, roof-tile and an opus signinum floor of a Roman building which presumably fronted on to the east side of Ermine Street""",Summary,1975-10-01,1975-10-01,497644,371809,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.538278641878562 53.2343088923125),b4a44861-6897-485c-a61f-73f38452352f,723,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Exchequergate""",Primary,"""Exchequergate""",WATCHING BRIEF,"""Service works on the west side of Exchequergate. Feature 2 of two. A 3 foot (0.91m) deep service trench revealed solid foundations which looked medieval in character and are likely to have related to the west gate structure of the Close""",Summary,1975-10-01,1975-10-01,497662,371805,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.537210959056437 53.2309067012698),ac635943-6a0d-46c9-bdbc-b23a38e254d9,724,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Grantham Street""",Primary,"""Grantham Street""",WATCHING BRIEF,"""A service trench 0.70m deep revealed demolition rubble presumably associated with the final demolition of medieval/post-medieval buildings at the bottom of the trench""",Summary,1980-11-21,1980-11-21,497741,371428,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.540148316041005 53.2291178154521),f0ed5725-fb8c-4b31-9849-fe4e1a50c119,725,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Saltergate""",Primary,"""Saltergate""",WATCHING BRIEF,"""A coarse blocked stone wall running north was seen in the south section of a pipe trench. Only briefly recorded due to backfilling. The site of a bank and jewellers building removed in 1902""",Summary,1988-01-01,1988-12-31,497549,371225,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.541635840589159 53.2329566198543),66693d6a-9596-4949-a810-173ac9e6f9fa,726,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Beaumont Fee/Spring Hill""",Primary,"""Beaumont Fee/Spring Hill""",WATCHING BRIEF,"""A small trench was too shallow to reveal any archaeological deposits""",Summary,1988-09-27,1988-09-27,497441,371650,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.532886635065799 53.2381980913632),4bd7bb0e-dafc-423d-a8a1-beea911ba262,727,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Nettleham Road""",Primary,"""Bromhead Nursing Home, Nettleham Road""",WATCHING BRIEF,"""No archaeological deposits were noted in deep (2.5m) foundations for a new basement. Natural was reached at around 1m. (see on86 - same site)""",Summary,1988-09-20,1988-09-27,498013,372245,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.532886635065799 53.2381980913632),e21394f2-29ec-4c17-bc73-5aecc87e4bb8,728,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Nettleham Road""",Primary,"""Bromhead Nursing Home, Nettleham Road""",WATCHING BRIEF,"""No archaeological deposits were noted in these deep foundations for a new basement. Natural was reached at around 1m. (see on62 - same site)""",Summary,1988-09-20,1988-09-27,498013,372245,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.542701317444041 53.233347215238),8faab994-a340-4936-8a65-72de2efa1ec9,729,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Motherby Hill""",Primary,"""Motherby Hill""",WATCHING BRIEF,"""Remedial work to the surface of the pathway revealed no archaeological deposits""",Summary,1988-09-29,1988-09-29,497369,371692,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.53538143418334 53.2366645732414),2e782e80-ac2c-4581-ad06-949e725effc6,730,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at East Bight""",Primary,"""17 East Bight""",WATCHING BRIEF,"""No archaeological deposits were noted when a trench (2.2m x 0.6m)  was hand-dug to a depth of 0.60m in advance of a new south extension. Only recent disturbance was encountered, probably from greenhouses which had previously been on the site""",Summary,1988-07-15,1988-07-15,497850,372071,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.53663694793257 53.2314839823297),951cc0ba-002f-4625-a5b0-641ea542ffba,731,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Lindum Road""",Primary,"""6 Lindum Road""",WATCHING BRIEF,"""Occasional rubbish pits at 1m depth and late (modern) outbuilding foundations were seen, also some evidence for fires or ovens was noticed and three medieval green-glazed sherds were recovered""",Summary,1988-06-01,1988-07-01,497778,371493,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.539030858447851 53.2337787359654),a93e11c2-f95a-4fa9-9673-ec8e9d324424,732,Lincoln Heritage Database Events,,Investigative Activity,"""Field Visit at Wordsworth Street""",Primary,"""1 Wordsworth Street""",FIELD VISIT,"""A vaulted roof inside the brickwork of this house was noticed, with heavy sooting, possibly a Victorian bread oven? (see on79)""",Summary,1988-10-14,1988-10-14,497613,371745,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.534147421051793 53.2306802837454),019d9806-6bec-484d-adce-63e1cf2cb1c5,733,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Monks Road""",Primary,"""23 Monks Road""",WATCHING BRIEF,"""Foundations for a rear (south) extension to a depth of 1m revealed only homogenous loam with some bone. This was interpreted as a Victorian garden soil dump""",Summary,1988-10-21,1988-10-21,497946,371407,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.539169012407417 53.2336815431602),c3f27f5f-2130-442f-a73b-0e9ded71f2d5,734,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Wordsworth Street""",Primary,"""Theological College, Wordsworth Street""",WATCHING BRIEF,"""Levelling of a piece of land to provide the site for a bike shed revealed much redeposited rubbish probably relating to the construction of the College. Ten potsherds were found dating from c. 1650 to 1750""",Summary,1988-10-25,1988-10-25,497604,371734,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.541854481781519 53.2362225304968),85a78ca5-a5b9-45df-928a-ebb0e7a1c4de,735,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Westgate""",Primary,"""Westgate""",WATCHING BRIEF,"""A service trench 0.75m deep revealed only modern make-up and no archaeological features or finds""",Summary,1980-08-25,1980-08-29,497419,372013,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.5384197141181 53.230606891525),d0537c7e-d1e9-4f55-be07-4a37c22b9199,736,Lincoln Heritage Database Events,,Investigative Activity,"""Borehole Survey at Clasketgate""",Primary,"""27-29 Clasketgate""",BOREHOLE SURVEY,"""The results of two boreholes conducted by Soils, Concrete & Materials Consultants, showed about 5m of made ground, then sand over clay which became stiff. This was interpreted as the foundations of a Roman wall which was subsequently robbed away""",Summary,1983-08-01,1983-08-01,497661,371393,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.53891707248267 53.2362405008169),84127f65-a3c5-471f-837c-8318db0bba00,737,Lincoln Heritage Database Events,,Investigative Activity,"""Photographic Survey at Bailgate""",Primary,"""34 Bailgate, Bail Rest Home, summerhouse""",PHOTOGRAPHIC SURVEY,"""A standing stone building (Victorian folly) in the garden was recorded and photographed""",Summary,1987-06-22,1987-06-22,497615,372019,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18
POINT (-0.538652484279229 53.2334504710167),e0a3b928-8c1b-4ee7-bdf6-6e19d7d92e9e,738,Lincoln Heritage Database Events,,Investigative Activity,"""Field Visit at Steep Hill""",Primary,"""21 and 22 Steep Hill, The Harlequin""",FIELD VISIT,"""Photographs were taken of the exposed ground floor elevation showing brickwork which presumably represented infilling of what had originally been timber-framed wattle and daub""",Summary,1978-01-01,1978-12-31,497639,371709,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.543508642044744 53.2228032476255),f55ff966-d8fb-46f3-835f-5129da2625d9,739,Lincoln Heritage Database Events,,Investigative Activity,"""Field Visit at High Street""",Primary,"""Unitarian Chapel, 377 High Street""",FIELD VISIT,"""Roof timbers exposed during roof repairs and alterations were recorded photographically""",Summary,1987-02-01,1987-02-01,497339,370518,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.544428335397342 53.2221852077),37f80314-5c7d-4979-89ee-56b2a42d0ea6,740,Lincoln Heritage Database Events,,Investigative Activity,"""Field Visit at High Street""",Primary,"""114 High Street""",FIELD VISIT,"""A reconstructed and reset Romanesque arch built into the west wall of the function room was recorded here. It represents a major doorway of the 1150s or 1160s""",Summary,1986-08-01,1986-08-01,497279,370448,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.543817470698113 53.2145814906064),330c2dad-b1d5-41fd-ab5b-df4683cf2385,742,Lincoln Heritage Database Events,,Investigative Activity,"""Salvage Recording at Malandry Closes""",Primary,"""Queens Park School (Malandry Coin Hoard)""",SALVAGE RECORDING,"""A hoard of 750 silver coins in a sack (The Malandry Coin Hoard) of Henry Is reign, c. 1134, was first discovered here by Mr P Cousins while mechanically excavating a pipe trench during the construction of Queens Park School (or during the demolition of the Open Air School). A total of 780 coins were found, which were sent to the British Museum for study. Declared Treasure Trove.""",Summary,1972-01-22,1972-02-09,497337,369603,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.544799315884675 53.2311254383221),65891b93-6ebd-4fc1-bded-264550e3262d,743,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Orchard Street""",Primary,"""Orchard Street""",WATCHING BRIEF,"""Roman structures, evidence of Roman timber buildings and part of a Roman limestone carving of three female figures were found in a trench which was 3m deep. The cemetery of St Stephen in Newland occupied the east part of the site. This took place during the erection of the Lincs C C computer building.""",Summary,1980-06-01,1980-07-01,497234,371442,Lincoln City and County Museum,50.81,Michael Dore,1994-12-21,1996-02-05
POINT (-0.541602094106385 53.2286591608972),f8dfe8f0-1e29-4bbe-b156-16f2f8d32899,744,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Warehouse, North Witham Bank""",Primary,"""Scout Hut, Glory Hole""",WATCHING BRIEF,"""Trench 1 of two. An unmortared but tightly bonded north-south limestone wall, 1.07m thick, was found. It was over at least 1m high and was thought to be a river wall serving to narrow the river prior to reaching High Bridge. Probably late medieval in date""",Summary,1974-03-01,1974-03-01,497453,371172,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.541512550721131 53.2286490756273),7d0304b4-244e-491c-865a-431b0e8f7a71,745,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at North Witham Bank""",Primary,"""Scout Hut, Glory Hole""",WATCHING BRIEF,"""Work on the buildings consolidation. Trench 2 of two. Late 14th century/15th century pottery was found in a layer of what was presumed to be silt accumulation.""",Summary,1974-03-01,1974-03-01,497459,371171,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.538924492769695 53.2338223804422),9f3e825b-ccf9-4b54-bc49-6c879dc31af1,746,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at Steep Hill""",Primary,"""25 Steep Hill""",CASUAL OBSERVATION,"""A Victorian brick oven was uncovered during interior renovation work. (See also on66)""",Summary,1987-02-01,1987-02-01,497620,371750,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.534998488541622 53.2338371214191),51d5c7d0-d037-4593-984f-f85b436f3d7a,747,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Greestone Place""",Primary,"""Greestone Place""",WATCHING BRIEF,"""This service trench abutted the graveyard of St Margaret in Pottergate and in the trench was found much demolition debris thought to represent the demolition of this church (architectural fragments, pottery and human bones)""",Summary,1981-05-01,1981-05-01,497882,371757,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.538619831515849 53.2322095008473),3b77b20e-c848-49e0-af89-4625efbec605,748,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Steep Hill""",Primary,"""Steep Hill (outside Jews Court)""",WATCHING BRIEF,"""A layer of very dark brown clayey loam was found at a depth of 1.5m. No dating evidence was retrieved, but it was very similar in appearance to post-Roman pre-Scandinavian deposits found at Flaxengate""",Summary,1979-11-01,1979-11-01,497644,371571,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.541349005865255 53.2268491462027),c981af17-2de8-48df-9ef1-d55ec13ad37a,749,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at High Street""",Primary,"""St Mary-le-Wigford Church""",CASUAL OBSERVATION,"""During the laying of a gas main, human bones associated with the cemetery of the church were discovered by workmen plus structural remains (a revetting wall?) associated with the foundations""",Summary,1971-08-08,1971-08-08,497474,370971,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.535092476229339 53.2275724948722),8313689e-e8e3-4da6-9f1b-902fd147a7c4,750,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at Waterside South""",Primary,"""Ruston Gas Turbines""",CASUAL OBSERVATION,"""An adult skeleton was discovered buried face down, aligned east-west, (exact location unknown), with a sherd of late 11th/early 12th century shelly ware just below the level of the grave cut. Probably a post-Conquest (?secret) burial""",Summary,1977-07-25,1977-07-25,497890,371060,Lincoln City and County Museum,155.77,Michael Dore,1994-12-21,2002-07-01
POINT (-0.538141991171158 53.2348016464583),22eeeccf-8e01-444b-a2bb-c08da6f29f2e,751,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Bailgate""",Primary,"""White Hart Hotel""",WATCHING BRIEF,"""During building work to erect an extension, sections of walls were revealed. They were probably two walls of a medieval/post-medieval cellar.""",Summary,1980-06-09,1980-06-09,497670,371860,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.534150246787549 53.2301589190775),cd288ce1-7536-4863-b504-84255711ff26,752,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Rosemary Lane""",Primary,"""5-9 Rosemary Lane""",WATCHING BRIEF,"""The foundation trenches here only reached 0.80m and proved too shallow to reveal any archaeological features or finds""",Summary,1988-11-01,1988-11-01,497947,371349,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.534222605185617 53.2306722186687),48b3ba5f-002c-4867-80cf-b52b1db0ac0a,753,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Monks Road""",Primary,"""21 Monks Road""",WATCHING BRIEF,"""Much modern build up here and no archaeological deposits were visible in the 1.5m deep trenches""",Summary,1988-10-26,1988-10-26,497941,371406,Lincoln City and County Museum,,Michael Dore,1994-12-21,2013-09-18
POINT (-0.531921275175885 53.2383839784656),eca7bbbe-e418-4c86-9198-abbe1dd04705,754,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Nettleham Road/The Grove""",Primary,"""36 Nettleham Road/The Grove""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during building of an extension. There was considerable overburden of modern topsoil, presumably brought in when the house was constructed in the 19th century. Then straight down to limestone brash where excavation penetrated to 1m""",Summary,1988-08-01,1988-09-01,498077,372267,Lincoln City and County Museum,,Michael Dore,1994-12-23,2013-09-18
POINT (-0.538964165127289 53.2440980109992),f86def58-f8e4-44f9-ba47-43954a762062,755,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Newport""",Primary,"""203 Newport""",WATCHING BRIEF,"""Observations of foundations for 203 Newport. This site was in an area of an old quarry, and it was much disturbed. No archaeological deposits were visible""",Summary,1988-10-05,1988-10-05,497594,372893,Lincoln City and County Museum,,Michael Dore,1994-12-23,2013-09-18
POINT (-0.541331169908948 53.2225249086119),42acf4d9-74a1-482e-99ca-10848509f5e3,756,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Monson Street""",Primary,"""23-6 Monson Street, Homer Lodge""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavations of foundations for Homer Lodge. Brown loam gave way at 1-1.5m to dark brown silty sand, and then to yellow-grey sand at 1.5-2.0m. No dating evidence was found.""",Summary,1988-09-29,1988-09-29,497485,370490,Lincoln City and County Museum,,Michael Dore,1994-12-23,2013-09-18
